model,accuracy,f1_macro,f1_weighted,roc_auc
text_unimodal,0.7055,0.7026735403428845,0.7135445390240979,0.7900142545454547
fusion_early_rf_concat,0.7125,0.7086128222013719,0.7212335293397749,0.7971339636363637
fusion_early,0.715,0.7115732012034988,0.7233626466043057,0.8023365818181817
fusion_late,0.712,0.7084725174612815,0.7204980261160037,0.8014522181818179
fusion_attention,0.7085,0.7048967151157419,0.7171250574831335,0.8050687999999999
