modality,model,task,test_accuracy,test_f1_macro,test_f1_weighted,test_roc_auc
text,rf_same_split,classification,0.6733333333333333,0.6717247847787492,0.6803803079534162,0.7648094677007938
fusion,early_rf_concat,classification,0.6766666666666666,0.6744055944055944,0.684625641025641,0.7704742914114798
fusion,early,classification,0.6883333333333334,0.6848589027359977,0.697322733132789,0.7789423935984254
fusion,late,classification,0.6833333333333333,0.6809368142940307,0.6913524547340767,0.77493493545338
fusion,attention,classification,0.685,0.6814884097171314,0.6940855431128189,0.7735883259312971
