model,accuracy,f1_macro,f1_weighted,roc_auc
cnn,0.8,0.8,0.8,0.92
resnet18,0.85,0.847930160518164,0.847930160518164,0.9411111111111111
resnet50,0.8833333333333333,0.8830409356725146,0.8830409356725146,0.9411111111111111
efficientnet_b0,0.8,0.7997775305895439,0.799777530589544,0.9488888888888889
vgg16,0.5,0.3333333333333333,0.3333333333333333,0.5944444444444444
mobilenet_v2,0.8333333333333334,0.8325892857142857,0.8325892857142857,0.9299999999999999
