tier,modality,model,accuracy,f1_macro,f1_weighted,roc_auc
text,text,text_unimodal,0.7055,0.7026735403428845,0.7135445390240979,0.7900142545454547
fusion,fusion,fusion_early,0.715,0.7115732012034988,0.7233626466043057,0.8023365818181817
trimodal,trimodal,text+image+video_late,0.76,0.7142857142857143,0.7417142857142858,0.669779286926995
