model,accuracy,f1_macro,f1_weighted,roc_auc
random_forest,0.91,0.8974358974358975,0.910957264957265,0.9698372415221866
svm,0.8366666666666667,0.7886443041796667,0.8265920451658973,0.8946925457394052
xgboost,0.92,0.9078329215683765,0.9204464982910686,0.9722779712809623
